 121112 15:43:52	   85 Connect	root@localhost on ppl-dc
		   85 Query	SHOW SESSION VARIABLES
		   85 Query	SHOW COLLATION
		   85 Query	SET character_set_results = NULL
		   85 Query	SET autocommit=1
		   85 Query	SET sql_mode='STRICT_TRANS_TABLES'
121112 15:43:54	   85 Query	select oeestatus0_.id as id227_, oeestatus0_.action_HJID as action4_227_, oeestatus0_.piiUniqueId_id as piiUniqu5_227_, oeestatus0_.trigger_HJID as trigger6_227_, oeestatus0_.triggerName as triggerN2_227_, oeestatus0_.triggeredOnce as triggere3_227_ from OEEStatus oeestatus0_
121112 15:45:46	   85 Query	SET autocommit=0
		   85 Query	insert into PIITYPE (ATTRIBUTENAME, ATTRIBUTEVALUE, CREATIONDATEITEM, MODIFICATIONDATEITEM, OWNER) values ('Jellyfish.jpg', 'b4d0c00a-7b9f-4c44-9051-ed6ae8844297_Jellyfish.jpg', null, null, 1)
		   85 Query	insert into AUTHORIZATIONSSETTYPE (MATCHING, MISMATCHIDOBJECT) values (1, null)
		   85 Query	insert into AUTHORIZATIONTYPE (MATCHING, MISMATCHIDOBJECT) values (1, null)
		   85 Query	insert into AUTHZDOWNSTREAMUSAGE (ALLOWED, HJID) values ('true', 1)
